Latitude,Longitude,Altitude (m)
-13.376540000,131.243060000,65.5
-13.377520000,131.245320000,65.6
-13.378180000,131.246570000,65.3
-13.378830000,131.247660000,68.3
-13.380140000,131.249530000,71.0
-13.386120000,131.256880000,85.6
-13.391840000,131.263800000,87.1
-13.394160000,131.266830000,79.6
-13.395960000,131.269420000,79.2
-13.409630000,131.290060000,72.4
-13.410990000,131.291970000,71.3
-13.412610000,131.294090000,68.8
-13.414800000,131.296730000,68.8
-13.416470000,131.298570000,71.5
-13.418750000,131.300920000,77.1
-13.420590000,131.302640000,78.7
-13.422290000,131.304150000,72.3
-13.424190000,131.305730000,69.1
-13.425570000,131.306810000,70.7
-13.428030000,131.308590000,72.9
-13.429380000,131.309520000,74.9
-13.431740000,131.311020000,74.0
-13.434220000,131.312450000,73.2
-13.436490000,131.313680000,75.1
-13.465320000,131.328080000,105.9
-13.466870000,131.329080000,102.6
-13.468290000,131.330210000,99.1
-13.469720000,131.331670000,93.3
-13.470180000,131.332220000,92.6
-13.470970000,131.333330000,90.3
-13.471700000,131.334550000,89.1
-13.472370000,131.335980000,91.0
-13.472620000,131.336630000,92.2
-13.473200000,131.338650000,93.6
-13.477050000,131.356430000,82.9
-13.477540000,131.358520000,84.3
-13.477920000,131.359610000,84.2
-13.478280000,131.360480000,83.4
-13.478890000,131.361610000,85.0
-13.479970000,131.363160000,85.2
-13.480780000,131.364060000,85.2
-13.481710000,131.364920000,86.1
-13.482510000,131.365530000,87.0
-13.483290000,131.366040000,87.2
-13.498250000,131.374250000,96.8
-13.500280000,131.375600000,99.9
-13.502130000,131.377080000,102.3
-13.503670000,131.378540000,102.2
-13.505260000,131.380310000,99.1
-13.506210000,131.381520000,98.8
-13.508680000,131.385020000,106.3
-13.509890000,131.386620000,110.0
-13.511090000,131.388040000,111.6
-13.512560000,131.389640000,110.4
-13.514100000,131.391180000,109.0
-13.515400000,131.392370000,108.2
-13.527080000,131.402490000,116.5
-13.529250000,131.404520000,124.4
-13.530950000,131.406330000,130.5
-13.543650000,131.420660000,160.1
-13.544720000,131.421820000,159.1
-13.545270000,131.422340000,159.7
-13.546590000,131.423390000,159.2
-13.547470000,131.423950000,159.9
-13.548480000,131.424500000,159.0
-13.549360000,131.424890000,159.2
-13.552880000,131.426030000,147.2
-13.553760000,131.426390000,145.6
-13.554730000,131.426890000,145.8
-13.555820000,131.427620000,144.2
-13.556750000,131.428430000,143.8
-13.557570000,131.429330000,140.9
-13.557940000,131.429810000,140.4
-13.558780000,131.431130000,138.3
-13.560110000,131.433610000,135.1
-13.560510000,131.434250000,132.6
-13.561030000,131.434950000,131.0
-13.561550000,131.435550000,129.0
-13.562460000,131.436420000,128.5
-13.563750000,131.437360000,127.4
-13.564490000,131.437780000,125.8
-13.565520000,131.438240000,126.0
-13.568460000,131.439360000,118.8
-13.570020000,131.440110000,115.8
-13.571160000,131.440830000,112.6
-13.572080000,131.441530000,112.5
-13.572810000,131.442160000,113.4
-13.576760000,131.445770000,118.7
-13.577960000,131.446930000,115.3
-13.578660000,131.447710000,112.0
-13.579450000,131.448770000,112.9
-13.580130000,131.449860000,115.1
-13.580780000,131.451220000,119.3
-13.581330000,131.452820000,124.7
-13.581640000,131.454140000,127.0
-13.582240000,131.458030000,134.7
-13.582250000,131.458980000,133.3
-13.582080000,131.460190000,129.7
-13.581750000,131.461220000,128.3
-13.581140000,131.462360000,125.1
-13.580420000,131.463290000,130.4
-13.579160000,131.464450000,136.5
-13.578430000,131.465240000,146.5
-13.577960000,131.465880000,150.7
-13.576890000,131.467720000,135.1
-13.576490000,131.468260000,131.6
-13.575780000,131.469030000,130.9
-13.574940000,131.469750000,132.9
-13.572270000,131.471420000,144.6
-13.571430000,131.472100000,149.7
-13.570830000,131.472700000,146.7
-13.570290000,131.473370000,149.9
-13.569740000,131.474260000,152.0
-13.569330000,131.475080000,152.8
-13.569100000,131.475660000,152.7
-13.568840000,131.476710000,150.0
-13.568690000,131.477900000,148.4
-13.568690000,131.478590000,146.9
-13.568810000,131.479840000,146.4
-13.569180000,131.481540000,141.4
-13.569290000,131.482430000,144.7
-13.569250000,131.488250000,170.5
-13.569340000,131.489070000,178.6
-13.569560000,131.489950000,184.9
-13.569860000,131.490740000,185.0
-13.570120000,131.491240000,185.6
-13.570460000,131.491790000,188.8
-13.571100000,131.492590000,192.1
-13.571670000,131.493130000,191.7
-13.572270000,131.493580000,189.1
-13.573460000,131.494220000,181.5
-13.574180000,131.494470000,183.1
-13.575360000,131.494700000,183.3
-13.581240000,131.494790000,172.8
-13.582420000,131.494870000,171.2
-13.583290000,131.495000000,169.1
-13.584440000,131.495330000,166.6
-13.586070000,131.496010000,164.6
-13.586980000,131.496550000,166.9
-13.588450000,131.497730000,171.6
-13.589010000,131.498290000,172.1
-13.589600000,131.499000000,171.7
-13.590320000,131.500060000,169.7
-13.590760000,131.500880000,167.0
-13.592410000,131.504570000,174.4
-13.598860000,131.519450000,174.1
-13.599470000,131.520690000,171.6
-13.599850000,131.521330000,174.7
-13.600890000,131.522770000,172.5
-13.602020000,131.523980000,171.9
-13.602720000,131.524590000,170.4
-13.603770000,131.525380000,168.4
-13.604680000,131.525940000,168.8
-13.606330000,131.526730000,173.2
-13.611970000,131.529060000,186.2
-13.613140000,131.529590000,188.9
-13.613780000,131.529920000,190.6
-13.614990000,131.530710000,191.7
-13.616040000,131.531570000,187.7
-13.616690000,131.532180000,186.9
-13.628010000,131.545200000,219.9
-13.629070000,131.546720000,218.6
-13.629780000,131.548000000,219.0
-13.630390000,131.549450000,219.6
-13.630850000,131.550970000,220.2
-13.631020000,131.551770000,215.9
-13.631220000,131.553120000,213.6
-13.631300000,131.555940000,207.3
-13.631440000,131.571810000,223.4
-13.631400000,131.573400000,218.0
-13.631300000,131.574600000,215.7
-13.631010000,131.576460000,220.5
-13.630780000,131.577570000,221.0
-13.630450000,131.578830000,223.7
-13.629930000,131.580370000,227.6
-13.629460000,131.581540000,231.8
-13.624890000,131.591830000,232.3
-13.624420000,131.593070000,230.7
-13.623950000,131.594560000,233.0
-13.623540000,131.596220000,233.9
-13.623310000,131.597410000,234.0
